height,weight
165,65
155,45
160,70
170,60
170,70
170,110
175,70
165,65
165,75
145,50
170,75
170,80
150,65
150,45
160,50
160,55
165,65
160,55
155,55
150,45
155,50
170,65
150,60
160,70
170,70
165,65
170,75
145,60
175,60
175,95
165,70
145,50
175,95
165,45
150,40
150,55
175,55
150,45
165,55
150,60
155,40
175,90
165,75
155,50
145,60
170,100
165,60
175,65
150,45
165,60
170,65
170,75
160,55
175,75
165,65
150,50
165,50
155,40
160,65
165,55
155,50
155,50
150,65
155,55
155,55
160,60
170,70
160,55
155,50
155,50
160,80
165,65
180,75
180,85
160,50
150,50
160,45
150,50
155,70
150,50
155,40
165,65
160,60
165,65
145,45
165,70
165,55
150,50
175,80
145,55
160,55
165,70
160,65
165,75
180,60
150,50
165,50
150,50
170,100
160,60
165,60
170,60
180,80
160,50
150,55
155,40
160,65
170,75
170,65
170,65
160,65
165,55
170,90
165,55
170,85
155,40
165,80
150,55
155,60
170,80
150,55
155,60
165,70
165,55
165,50
160,70
165,60
170,70
155,55
170,80
170,80
170,70
155,75
165,55
165,65
145,40
150,50
175,85
175,85
175,75
165,55
160,60
160,55
170,65
165,70
165,60
175,70
170,45
180,90
165,50
150,55
155,65
170,70
155,50
165,75
155,60
160,65
175,85
160,50
165,70
160,60
160,75
175,70
155,50
140,50
165,55
160,65
175,80
185,80
160,65
180,90
160,50
155,60
155,55
155,75
165,50
155,55
165,90
165,80
175,80
145,45
155,65
165,80
170,60
160,70
165,55
175,75
175,80
160,55
170,65
155,45
165,60
155,50
155,65
155,55
175,75
175,70
160,75
180,85
165,60
160,50
155,55
175,90
155,50
150,50
155,50
170,85
170,65
160,65
160,60
170,60
160,55
180,55
175,105
175,80
155,70
165,60
165,70
175,60
160,70
175,85
170,80
160,60
165,55
145,55
155,55
170,75
155,55
160,65
180,75
165,90
155,50
155,60
145,50
165,65
155,60
160,65
155,60
165,75
160,65
170,60
175,80
160,65
155,70
165,55
165,60
175,70
165,75
170,70
165,75
160,60
160,70
170,80
170,60
170,75
165,75
155,65
155,50
155,65
160,70
165,80
155,50
150,55
155,60
165,70
175,70
155,50
160,70
165,65
175,95
160,75
170,85
175,75
170,70
150,40
150,55
170,80
145,50
160,55
175,75
155,50
155,45
155,55
175,85
155,45
170,65
155,60
160,65
150,45
160,70
160,45
160,50
170,60
160,65
170,65
165,70
155,55
155,60
160,75
160,55
150,70
165,80
150,60
160,70
155,55
170,65
150,45
175,75
170,65
185,70
170,65
165,70
150,60
180,90
160,70
145,45
160,70
155,50
175,75
165,80
180,90
145,40
170,65
150,55
175,90
165,80
160,65
165,45
155,60
145,45
175,70
150,45
155,60
160,55
175,75
175,65
175,65
170,70
165,70
165,50
150,60
150,45
160,55
175,70
175,80
150,55
150,40
180,75
175,70
170,80
170,70
160,45
175,100
160,55
175,85
160,70
155,50
160,65
160,55
170,65
180,65
150,50
150,45
150,45
155,45
150,55
150,45
155,50
150,50
185,100
145,40
180,70
160,60
145,50
170,80
150,45
175,80
160,65
165,85
175,80
170,80
150,60
170,65
170,90
170,80
175,65
170,70
165,55
175,90
160,60
160,50
155,55
175,60
170,75
175,65
155,65
160,55
165,70
180,85
170,75
175,100
145,45
155,60
165,60
160,55
145,45
160,50
160,50
165,65
155,60
180,105
155,60
165,65
160,50
165,70
175,65
170,65
155,45
170,65
165,60
155,45
165,75
160,60
165,70
150,60
150,55
160,50
160,50
165,80
155,40
145,50
155,45
175,75
170,75
150,55
150,65
160,50
170,65
155,60
145,55
160,50
180,70
170,75
145,45
160,50
145,65
170,70
155,65
170,55
145,50
170,65
155,55
170,50
155,55
145,40
165,70
160,65
175,90
150,55
180,85
155,40
170,60
160,45
170,80
175,80
160,50
170,60
155,55
170,65
170,70
160,60
145,40
160,50
180,80
150,45
155,65
165,60
165,60
150,50
165,90
165,70
165,70
165,70
170,65
165,70
170,70
150,75
150,60
175,80
165,55
155,60
160,55
175,125
185,95
155,55
165,75
150,60
160,50
175,85
155,60
150,50
160,50
175,70
155,45
175,85
155,60
175,90
170,65
170,80
165,65
170,65
165,55
165,55
145,55
165,80
155,45
155,65
160,60
155,50
175,90
170,55
170,55
155,50
160,45
160,50
165,65
170,60
165,85
165,70
135,45
165,70
145,55
155,55
180,80
155,55
175,65
155,45
155,55
170,70
145,55
160,70
160,70
155,55
160,50
155,55
155,50
165,75
150,50
155,60
165,95
155,55
165,70
160,60
150,60
170,85
155,45
155,55
160,75
160,75
145,40
170,65
160,60
155,45
160,70
155,50
155,55
145,50
155,45
165,70
165,50
170,80
140,55
155,50
160,55
150,60
150,50
160,50
150,40
165,70
175,70
165,60
155,55
145,60
165,65
165,75
160,55
160,55
155,55
160,50
170,105
175,80
175,65
165,70
155,40
160,60
155,45
170,65
155,55
180,75
175,125
160,55
150,50
165,60
160,60
170,70
170,70
160,65
165,80
160,55
170,65
170,70
155,65
165,80
155,50
165,65
170,70
165,60
160,45
165,65
155,45
165,60
180,80
165,65
175,85
160,50
160,70
160,60
175,75
150,50
150,45
155,70
155,55
170,70
145,40
165,85
160,60
155,50
165,55
160,55
145,45
165,70
145,50
155,50
175,95
155,75
160,50
170,70
170,70
180,85
170,80
170,55
150,60
155,45
170,75
160,75
155,45
175,75
155,50
160,50
150,55
150,55
165,70
155,45
165,80
160,60
145,50
160,60
150,50
170,60
160,60
180,90
155,40
180,90
150,55
165,60
160,60
175,85
165,60
155,60
180,95
145,45
175,75
145,45
145,45
170,60
170,80
160,50
180,95
160,55
175,85
165,60
150,45
170,80
160,50
160,80
175,100
160,60
145,65
160,80
170,75
145,75
160,45
165,60
170,95
160,65
165,60
155,65
150,60
150,60
170,75
160,50
170,65
